City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,la ronge,55.1001,-105.2842,12.2,79,3,1.14,CA,1612075032
144,ahipara,-35.1667,173.1667,66.31,66,11,3.51,NZ,1612075032
145,adrar,20.5022,-10.0711,61.18,30,57,8.63,MR,1612075032
146,provideniya,64.3833,-173.3,-9.51,87,100,20.0,RU,1612075032
147,faanui,-16.4833,-151.75,82.36,71,100,10.42,PF,1612075033
148,fortuna,40.5982,-124.1573,54.0,58,75,28.77,US,1612075033
149,ilulissat,69.2167,-51.1,6.8,66,90,11.5,GL,1612074819
150,whyalla,-33.0333,137.5833,80.6,36,99,14.97,AU,1612074911
151,tocopilla,-22.092,-70.1979,64.81,67,18,2.82,CL,1612075033
152,tuatapere,-46.1333,167.6833,59.58,70,100,0.65,NZ,1612074814
153,el cobre,20.0489,-75.9469,69.8,73,20,4.61,CU,1612075034
154,pacific grove,36.6177,-121.9166,51.01,87,90,4.61,US,1612075034
155,ribeira grande,38.5167,-28.7,63.05,94,86,16.55,PT,1612074764
156,agadez,19.75,10.25,57.0,32,0,4.14,NE,1612075034
157,avarua,-21.2078,-159.775,77.0,88,40,2.3,CK,1612074765
158,zacatecoluca,13.5,-88.8667,77.0,69,0,5.75,SV,1612075035
159,thohoyandou,-22.9456,30.485,77.09,82,17,4.76,ZA,1612074876
160,pichayevo,53.2363,42.2032,34.34,91,100,22.41,RU,1612075035
161,ishigaki,24.3448,124.1572,71.6,49,20,12.66,JP,1612075035
162,baiersbronn,48.5,8.3833,36.0,99,100,1.61,DE,1612075035
163,hasaki,35.7333,140.8333,54.0,32,20,13.8,JP,1612075035
164,robertsport,6.7533,-11.3686,77.95,88,97,4.5,LR,1612075035
165,sabzevar,36.2126,57.6819,47.53,52,0,11.18,IR,1612075036
166,anadyr,64.75,177.4833,1.4,71,75,20.13,RU,1612075036
167,mahebourg,-20.4081,57.7,86.0,66,40,10.36,MU,1612075036
168,coquimbo,-29.9533,-71.3436,64.4,88,0,4.61,CL,1612074826
169,mercedes,-34.6515,-59.4307,59.0,87,29,14.0,AR,1612075036
170,diego de almagro,-26.3667,-70.05,54.93,60,0,1.74,CL,1612075037
171,niihama,33.9593,133.3167,55.4,44,20,9.22,JP,1612075037
172,haines junction,60.7522,-137.5108,-18.4,76,91,1.14,CA,1612075037
173,carauari,-4.8828,-66.8958,72.73,98,100,2.35,BR,1612075037
174,hualmay,-11.0964,-77.6139,70.14,78,72,8.93,PE,1612075037
175,iskateley,67.6803,53.1512,3.27,93,100,11.41,RU,1612075037
176,plouzane,48.3833,-4.6167,48.2,100,90,3.44,FR,1612075038
177,narsaq,60.9167,-46.05,39.2,28,75,29.93,GL,1612075038
178,north vanlaiphai,23.1333,93.0667,66.33,27,0,6.89,IN,1612075038
179,quatre cocos,-20.2078,57.7625,86.0,66,40,10.36,MU,1612075038
180,mmabatho,-25.85,25.6333,66.2,100,90,6.91,ZA,1612075038
181,wanning,18.8003,110.3967,73.36,69,22,11.48,CN,1612074829
182,lompoc,34.6391,-120.4579,46.0,93,1,3.44,US,1612075039
183,lebu,-37.6167,-73.65,55.26,90,4,11.86,CL,1612075039
184,wajima,37.4,136.9,35.6,60,40,5.75,JP,1612075039
185,villa carlos paz,-31.4241,-64.4978,62.01,97,92,3.0,AR,1612074984
186,plainview,40.7765,-73.4673,23.0,58,1,8.05,US,1612075039
187,nanortalik,60.1432,-45.2371,27.73,91,100,6.93,GL,1612075040
188,hammerfest,70.6634,23.6821,24.8,93,75,10.36,NO,1612075040
189,opuwo,-18.0607,13.84,71.74,52,100,3.09,NA,1612074926
190,isla vista,34.4133,-119.861,46.99,93,1,2.46,US,1612075040
191,aykhal,66.0,111.5,-31.11,81,100,11.3,RU,1612075040
192,bhatkal,13.9667,74.5667,84.94,47,0,6.26,IN,1612075040
193,port hardy,50.6996,-127.4199,44.6,87,90,19.57,CA,1612074772
194,saint-francois,46.4154,3.9054,44.01,100,90,4.61,FR,1612074898
195,udachnyy,66.4167,112.4,-29.9,81,100,12.66,RU,1612075041
196,coihueco,-36.6167,-71.8333,57.2,91,9,4.61,CL,1612075041
197,chapais,49.7834,-74.8492,-5.8,84,90,4.61,CA,1612075041
198,zemio,5.0314,25.1361,81.54,16,86,7.36,CF,1612075041
199,bama,11.5221,13.6856,69.91,35,47,4.41,NG,1612075042
200,georgetown,5.4112,100.3354,89.6,55,20,9.22,MY,1612075042
201,anloga,5.7947,0.8973,80.6,89,20,4.61,GH,1612075042
202,katsuura,35.1333,140.3,53.01,35,20,16.11,JP,1612075042
203,san borja,-14.8167,-66.85,71.46,97,44,1.88,BO,1612075042
204,kalianget,-7.05,113.9333,84.81,75,85,13.58,ID,1612075042
205,yellowknife,62.456,-114.3525,-13.0,76,20,3.44,CA,1612075042
206,sitka,57.0531,-135.33,37.4,70,1,5.75,US,1612074872
207,toora-khem,52.4675,96.11,-2.11,85,100,0.78,RU,1612074937
208,contamana,-7.3333,-75.0167,71.69,93,100,0.92,PE,1612075043
209,poum,-20.2333,164.0167,79.63,71,2,8.55,NC,1612075043
210,snihurivka,47.0758,32.8052,33.8,100,0,8.95,UA,1612075043
211,oranjestad,12.524,-70.027,78.8,78,20,23.02,AW,1612075043
212,annau,37.8876,58.516,55.4,54,75,4.61,TM,1612075043
213,east london,-33.0153,27.9116,71.6,88,90,3.44,ZA,1612074794
214,landsberg,52.7368,15.2288,19.99,80,0,5.53,PL,1612075044
215,victoria,22.2855,114.1577,73.4,40,0,16.11,HK,1612074788
216,nishihara,26.1842,127.7558,68.0,39,40,14.97,JP,1612075044
217,kualakapuas,-3.0091,114.3876,77.0,94,90,11.18,ID,1612075044
218,bredasdorp,-34.5322,20.0403,75.99,70,0,1.01,ZA,1612075044
219,paamiut,61.994,-49.6678,21.92,89,0,12.75,GL,1612075044
220,torbay,47.6666,-52.7314,30.0,93,90,16.11,CA,1612074918
221,masterton,-40.9597,175.6575,66.99,62,0,3.0,NZ,1612075045
222,mahon,39.8885,4.2658,53.6,66,0,12.66,ES,1612075045
223,la macarena,2.1837,-73.7849,71.24,76,98,1.74,CO,1612075045
224,mangan,27.5167,88.5333,64.38,29,7,6.53,IN,1612075045
225,ambilobe,-13.2,49.05,87.46,64,0,2.68,MG,1612075046
